order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
86,556,165,Item_4,2023-06-21,10:34:00,Delivered,953.41
87,685,13,Item_49,2022-01-07,17:02:00,Delivered,866.16
88,237,18,Item_46,2022-06-04,10:09:00,Delivered,579.87
89,383,16,Item_40,2023-10-16,21:22:00,Pending,925.84
90,676,125,Item_2,2022-01-07,19:04:00,Pending,499.64
91,18,136,Item_47,2022-10-09,19:08:00,Cancelled,164.57
92,833,179,Item_44,2023-03-17,13:03:00,Delivered,930.34
93,537,39,Item_16,2022-07-16,20:34:00,Pending,364.56
94,363,69,Item_26,2022-03-22,16:22:00,Cancelled,540.15
95,250,179,Item_15,2022-11-04,21:40:00,Delivered,705.68
96,879,167,Item_49,2022-02-02,11:35:00,Cancelled,472.37
97,566,122,Item_4,2023-10-15,10:09:00,Pending,295.68
98,512,112,Item_42,2022-12-06,19:39:00,Delivered,910.57
99,942,11,Item_15,2022-08-05,21:48:00,Pending,554.18
100,48,20,Item_44,2022-10-15,19:16:00,Pending,709.39
101,184,81,Item_2,2022-08-01,20:01:00,Delivered,789.42
102,730,102,Item_5,2022-11-03,12:46:00,Pending,354.4
103,855,100,Item_44,2023-07-08,15:39:00,Cancelled,792.27
104,144,177,Item_47,2022-03-22,18:32:00,Pending,978.17
105,55,26,Item_28,2022-08-26,11:17:00,Cancelled,664.39
106,629,153,Item_26,2022-12-01,10:30:00,Pending,382.33
107,462,126,Item_15,2022-12-31,19:26:00,Cancelled,517.07
108,697,150,Item_43,2023-01-25,11:27:00,Pending,401.07
109,253,183,Item_5,2022-03-26,14:34:00,Delivered,473.0
110,803,163,Item_10,2023-02-03,15:24:00,Cancelled,240.57
111,6,79,Item_29,2023-01-04,14:36:00,Delivered,262.63
112,192,111,Item_29,2023-07-25,19:28:00,Pending,496.84
113,27,23,Item_23,2023-07-22,11:35:00,Pending,658.34
114,333,99,Item_1,2022-10-26,17:03:00,Cancelled,812.29
115,743,144,Item_16,2023-08-09,18:53:00,Delivered,732.52
116,174,36,Item_18,2022-11-05,14:34:00,Cancelled,274.04
117,172,112,Item_18,2023-03-08,15:06:00,Cancelled,815.27
118,370,65,Item_16,2023-10-03,18:27:00,Pending,674.17
119,469,28,Item_9,2022-11-08,10:06:00,Cancelled,432.38
120,636,98,Item_22,2023-03-27,15:42:00,Cancelled,843.15
121,881,167,Item_39,2022-05-20,15:07:00,Cancelled,662.73
122,712,52,Item_31,2022-11-18,13:01:00,Cancelled,973.42
123,299,189,Item_45,2023-10-11,18:22:00,Pending,814.68
124,334,97,Item_18,2023-02-07,16:13:00,Delivered,942.26
125,205,152,Item_35,2022-07-04,21:38:00,Pending,172.88
126,745,119,Item_46,2022-08-03,17:28:00,Cancelled,856.59
127,71,105,Item_44,2023-05-27,12:22:00,Pending,407.41
128,259,169,Item_10,2023-03-10,16:26:00,Delivered,531.71
129,613,123,Item_38,2023-02-15,19:07:00,Pending,934.97
130,891,178,Item_27,2023-07-11,10:37:00,Cancelled,746.39
131,832,138,Item_39,2023-10-16,11:27:00,Delivered,803.61
132,674,171,Item_23,2022-06-20,21:02:00,Pending,187.65
133,661,174,Item_42,2023-02-14,15:39:00,Cancelled,240.05
134,101,67,Item_15,2023-06-07,18:51:00,Pending,643.44
135,590,57,Item_29,2023-01-19,16:40:00,Cancelled,806.49
136,603,177,Item_33,2022-06-04,15:53:00,Delivered,560.36
137,303,107,Item_6,2022-04-29,12:25:00,Cancelled,415.11
138,467,53,Item_34,2023-05-10,15:56:00,Cancelled,232.98
139,740,179,Item_29,2022-11-23,11:08:00,Cancelled,187.98
140,728,30,Item_2,2022-12-18,21:03:00,Delivered,725.57
141,169,190,Item_16,2023-06-13,12:58:00,Pending,286.12
142,574,110,Item_30,2022-08-26,16:54:00,Pending,306.78
143,656,169,Item_28,2023-02-10,10:29:00,Pending,671.99
144,203,116,Item_38,2023-03-16,16:38:00,Delivered,749.03
145,211,72,Item_49,2023-12-22,11:04:00,Pending,236.49
146,893,138,Item_12,2023-01-10,15:33:00,Delivered,538.92
147,269,172,Item_32,2023-06-25,20:54:00,Cancelled,657.43
148,626,101,Item_38,2022-04-27,15:56:00,Cancelled,868.69
149,633,45,Item_44,2023-12-24,15:04:00,Pending,651.64
150,689,35,Item_21,2022-05-01,14:04:00,Cancelled,249.41
151,383,178,Item_10,2023-06-08,16:37:00,Cancelled,656.96
152,589,99,Item_28,2022-07-10,18:18:00,Pending,606.77
153,942,166,Item_12,2023-07-23,12:50:00,Cancelled,395.51
154,192,81,Item_29,2023-09-27,10:54:00,Cancelled,959.07
155,497,35,Item_13,2023-01-29,19:35:00,Pending,705.11
156,419,176,Item_32,2023-03-02,17:34:00,Cancelled,292.17
157,579,8,Item_49,2022-08-14,14:59:00,Delivered,383.62
158,551,74,Item_11,2023-04-14,19:39:00,Pending,806.67
159,508,141,Item_33,2022-04-26,19:46:00,Delivered,377.71
160,557,94,Item_35,2022-02-12,17:31:00,Pending,335.76
161,436,27,Item_48,2023-11-01,14:13:00,Cancelled,893.59
162,34,116,Item_17,2022-12-23,11:29:00,Cancelled,885.5
163,121,199,Item_16,2022-08-03,20:02:00,Pending,448.04
164,728,157,Item_41,2023-03-15,12:49:00,Pending,268.35
165,212,53,Item_4,2023-08-07,15:59:00,Pending,388.92
166,552,44,Item_21,2023-12-22,14:59:00,Cancelled,636.83
167,976,132,Item_44,2022-04-08,12:18:00,Cancelled,930.95
168,284,168,Item_9,2023-12-20,12:15:00,Delivered,274.31
169,330,64,Item_49,2023-11-24,16:42:00,Cancelled,270.85
170,648,69,Item_41,2023-03-01,16:24:00,Cancelled,214.19
171,814,197,Item_6,2023-02-17,18:47:00,Pending,386.49
172,959,95,Item_30,2023-05-15,15:35:00,Pending,152.1
173,793,188,Item_6,2023-04-15,20:50:00,Pending,742.7
174,871,17,Item_35,2023-02-12,13:43:00,Cancelled,851.12
175,507,69,Item_21,2022-10-18,15:45:00,Pending,641.24
176,580,125,Item_22,2023-11-30,10:49:00,Delivered,234.64
177,803,118,Item_2,2022-05-08,12:41:00,Cancelled,538.04
178,982,110,Item_13,2023-12-07,12:15:00,Pending,406.59
179,896,71,Item_6,2023-11-02,16:09:00,Cancelled,220.06
180,681,167,Item_11,2022-02-23,16:45:00,Pending,409.68
181,717,194,Item_15,2023-03-16,21:11:00,Delivered,748.14
182,2,55,Item_31,2022-03-21,12:15:00,Pending,342.26
183,697,114,Item_1,2022-01-09,21:52:00,Cancelled,844.54
184,881,109,Item_45,2022-05-16,18:09:00,Delivered,344.6
185,92,188,Item_7,2022-04-16,15:20:00,Cancelled,898.84
186,141,98,Item_50,2022-05-17,20:56:00,Pending,271.43
187,544,145,Item_1,2023-09-17,21:05:00,Delivered,524.08
188,740,55,Item_41,2022-06-05,17:01:00,Pending,733.58
189,881,56,Item_6,2022-04-13,12:23:00,Delivered,651.14
190,394,90,Item_28,2022-11-19,12:23:00,Delivered,385.42
191,87,64,Item_36,2023-09-08,20:14:00,Pending,666.45
192,798,177,Item_2,2023-11-06,15:08:00,Delivered,590.09
193,522,49,Item_48,2023-02-06,15:02:00,Pending,196.38
194,920,62,Item_32,2023-01-31,11:55:00,Delivered,574.65
195,609,19,Item_34,2022-01-13,16:09:00,Cancelled,262.19
196,882,146,Item_27,2023-01-10,19:19:00,Pending,296.85
197,483,198,Item_5,2022-01-18,20:01:00,Delivered,161.72
198,221,11,Item_4,2023-02-12,18:38:00,Cancelled,684.29
199,514,197,Item_27,2023-03-10,21:58:00,Cancelled,220.06
200,550,138,Item_40,2022-06-06,14:44:00,Delivered,413.42
201,524,53,Item_10,2023-07-04,15:34:00,Cancelled,648.47
202,782,167,Item_44,2023-10-21,11:07:00,Cancelled,743.87
203,748,62,Item_4,2022-09-08,11:28:00,Cancelled,248.59
204,627,156,Item_4,2022-11-13,21:22:00,Pending,709.34
205,180,31,Item_1,2023-12-26,12:20:00,Pending,159.65
206,509,89,Item_34,2023-06-14,14:25:00,Delivered,466.09
207,768,200,Item_18,2022-05-01,10:30:00,Cancelled,836.04
208,279,135,Item_5,2022-09-27,19:50:00,Pending,215.51
209,467,131,Item_24,2022-02-26,18:31:00,Pending,291.85
210,162,66,Item_50,2022-04-16,19:47:00,Pending,764.36
211,234,190,Item_33,2022-01-03,10:45:00,Delivered,357.87
212,484,94,Item_25,2022-06-03,13:03:00,Delivered,619.94
213,936,183,Item_48,2023-11-03,17:09:00,Delivered,423.53
214,427,185,Item_21,2022-10-05,11:19:00,Pending,466.89
215,515,173,Item_4,2022-07-03,13:48:00,Pending,984.2
216,977,103,Item_5,2023-04-22,14:49:00,Cancelled,428.21
217,567,117,Item_1,2023-01-13,13:25:00,Cancelled,629.24
218,312,190,Item_40,2022-09-06,17:55:00,Cancelled,652.94
219,506,198,Item_50,2022-07-20,19:19:00,Delivered,277.98
220,955,105,Item_2,2022-08-27,19:14:00,Cancelled,690.55
221,711,3,Item_22,2022-01-02,21:13:00,Cancelled,871.66
222,745,79,Item_7,2022-07-30,19:02:00,Delivered,506.84
223,985,16,Item_10,2023-12-30,14:46:00,Delivered,187.32
224,238,134,Item_27,2023-12-19,16:21:00,Cancelled,978.37
225,87,149,Item_7,2023-06-02,12:16:00,Pending,846.97
226,77,152,Item_37,2022-03-05,17:25:00,Pending,969.59
227,243,75,Item_17,2022-11-19,16:42:00,Pending,857.11
228,335,82,Item_29,2022-10-06,13:59:00,Delivered,952.02
229,140,200,Item_50,2023-08-22,11:51:00,Delivered,239.81
230,461,120,Item_21,2023-02-21,12:03:00,Pending,454.54
231,789,54,Item_29,2022-11-12,17:54:00,Cancelled,874.61
232,93,41,Item_44,2022-11-08,21:53:00,Pending,184.28
233,856,84,Item_10,2022-04-04,14:14:00,Cancelled,486.81
234,51,174,Item_20,2022-09-24,12:58:00,Delivered,959.28
235,876,116,Item_36,2023-07-18,14:15:00,Delivered,542.74
236,824,36,Item_8,2022-01-13,11:03:00,Delivered,261.11
237,844,103,Item_24,2023-12-04,20:45:00,Pending,221.43
238,601,67,Item_5,2022-01-23,11:06:00,Delivered,917.12
239,455,33,Item_6,2022-12-06,12:05:00,Delivered,950.94
240,52,44,Item_37,2023-03-20,16:44:00,Cancelled,175.06
241,700,110,Item_12,2022-12-29,13:39:00,Delivered,383.73
242,457,39,Item_3,2023-09-21,20:34:00,Pending,358.92
243,303,128,Item_27,2023-07-18,18:10:00,Delivered,224.56
244,393,36,Item_27,2022-07-24,20:58:00,Pending,361.78
245,822,140,Item_2,2023-01-27,16:07:00,Cancelled,612.84
246,497,89,Item_37,2023-05-30,15:29:00,Cancelled,379.87
247,27,82,Item_39,2022-08-13,10:30:00,Cancelled,199.8
248,484,136,Item_23,2023-08-22,13:58:00,Delivered,235.11
249,673,62,Item_18,2023-07-01,10:57:00,Delivered,639.34
250,817,100,Item_23,2022-06-27,13:00:00,Delivered,653.64
251,826,189,Item_45,2023-01-03,20:05:00,Delivered,747.93
252,361,146,Item_37,2022-05-26,19:36:00,Delivered,861.19
253,830,127,Item_35,2022-11-13,12:59:00,Cancelled,182.27
254,58,60,Item_39,2022-08-13,10:20:00,Pending,556.29
255,340,158,Item_13,2022-05-14,15:48:00,Pending,300.84
256,822,83,Item_4,2022-01-23,12:31:00,Pending,748.99
257,146,199,Item_8,2023-06-23,16:13:00,Delivered,467.55
258,965,170,Item_26,2023-08-24,11:43:00,Cancelled,406.5
259,140,41,Item_47,2023-03-24,20:54:00,Cancelled,701.8
260,179,182,Item_36,2023-12-12,20:28:00,Cancelled,339.75
261,604,45,Item_25,2022-11-11,21:45:00,Cancelled,258.25
262,747,1,Item_45,2023-08-10,16:40:00,Pending,177.53
263,617,82,Item_40,2022-08-15,20:54:00,Pending,238.49
264,509,37,Item_22,2022-03-21,14:03:00,Cancelled,985.02
265,172,163,Item_6,2023-12-27,21:26:00,Pending,769.89
266,344,115,Item_1,2022-09-29,13:34:00,Delivered,739.2
267,359,66,Item_7,2022-01-02,10:49:00,Cancelled,522.49
268,430,43,Item_27,2023-05-20,16:27:00,Cancelled,614.12
269,104,123,Item_37,2023-10-29,21:43:00,Delivered,288.26
270,76,9,Item_19,2022-01-21,15:26:00,Cancelled,958.91
271,76,88,Item_11,2023-01-20,12:44:00,Pending,213.75
272,965,24,Item_22,2023-09-01,20:28:00,Cancelled,748.83
273,442,168,Item_11,2023-09-14,17:24:00,Delivered,195.52
274,340,53,Item_13,2023-02-24,21:53:00,Pending,763.73
275,748,139,Item_17,2023-11-08,14:48:00,Cancelled,351.92
276,51,101,Item_37,2023-07-17,18:22:00,Delivered,196.33
277,4,110,Item_6,2022-10-29,21:17:00,Pending,660.18
278,205,25,Item_2,2022-07-31,12:54:00,Pending,398.04
279,84,122,Item_8,2022-11-12,16:47:00,Cancelled,565.73
280,677,68,Item_6,2023-10-20,19:17:00,Cancelled,307.15
281,907,98,Item_24,2022-07-11,17:36:00,Delivered,373.8
282,477,68,Item_15,2022-10-03,19:37:00,Delivered,278.46
283,714,171,Item_7,2022-03-29,21:24:00,Cancelled,836.95
284,424,194,Item_38,2022-08-21,19:26:00,Delivered,864.68
285,839,134,Item_27,2023-07-03,21:43:00,Cancelled,636.81
286,242,122,Item_20,2022-03-22,16:44:00,Pending,179.52
287,585,133,Item_37,2023-11-25,20:35:00,Delivered,252.24
288,776,115,Item_12,2022-06-21,13:36:00,Delivered,257.26
289,434,21,Item_44,2023-03-22,13:26:00,Pending,275.7
290,610,67,Item_21,2022-03-10,11:29:00,Cancelled,622.91
291,566,84,Item_18,2023-06-17,17:49:00,Delivered,818.57
292,639,151,Item_34,2023-03-06,11:55:00,Cancelled,277.2
293,581,151,Item_38,2022-04-13,11:48:00,Pending,812.61
294,805,74,Item_35,2022-12-19,17:00:00,Cancelled,475.59
295,498,147,Item_39,2023-04-30,10:38:00,Delivered,384.1
296,148,159,Item_39,2023-11-29,21:50:00,Cancelled,182.97
297,911,85,Item_45,2022-09-01,10:50:00,Pending,553.94
298,276,96,Item_2,2022-12-12,15:10:00,Cancelled,388.29
299,504,179,Item_44,2022-04-11,13:53:00,Delivered,405.41
300,762,114,Item_50,2022-11-25,14:35:00,Pending,504.26
301,662,23,Item_13,2023-03-29,13:36:00,Cancelled,779.8
302,778,133,Item_24,2022-02-27,18:47:00,Delivered,205.77
303,727,130,Item_26,2022-05-19,18:56:00,Pending,174.61
304,198,52,Item_4,2022-09-13,10:33:00,Cancelled,192.98
305,370,181,Item_13,2022-10-08,16:17:00,Cancelled,579.36
306,651,32,Item_44,2022-02-01,14:07:00,Cancelled,565.47
307,457,46,Item_31,2023-08-24,19:24:00,Cancelled,442.61
308,858,67,Item_48,2023-12-07,11:32:00,Cancelled,173.33
309,51,42,Item_37,2022-08-08,13:46:00,Pending,341.35
310,212,69,Item_42,2023-02-24,18:45:00,Delivered,884.94
311,991,197,Item_44,2022-01-10,18:05:00,Delivered,700.27
312,616,3,Item_15,2022-09-16,20:22:00,Cancelled,755.83
313,727,165,Item_18,2023-03-10,16:25:00,Cancelled,540.15
314,224,120,Item_20,2023-11-25,18:53:00,Pending,487.58
315,105,2,Item_33,2023-11-10,16:23:00,Pending,700.24
316,624,73,Item_20,2023-12-02,11:50:00,Cancelled,204.26
317,284,164,Item_21,2022-10-11,14:27:00,Pending,754.43
318,914,167,Item_20,2022-07-12,12:33:00,Pending,800.65
319,922,15,Item_39,2023-02-18,21:16:00,Cancelled,728.64
320,739,7,Item_42,2023-05-25,15:02:00,Cancelled,920.87
321,415,100,Item_48,2022-02-06,19:57:00,Pending,995.54
322,836,49,Item_22,2022-08-16,21:42:00,Pending,692.57
323,488,172,Item_23,2023-06-04,15:07:00,Delivered,864.54
324,898,143,Item_12,2022-10-28,11:39:00,Cancelled,258.75
325,265,186,Item_36,2022-07-07,21:36:00,Cancelled,706.27
326,228,91,Item_15,2022-11-11,17:10:00,Cancelled,465.93
327,600,76,Item_30,2022-05-01,18:01:00,Delivered,886.43
328,598,149,Item_40,2022-03-14,18:03:00,Delivered,575.41
329,889,175,Item_25,2023-06-27,15:05:00,Cancelled,195.95
330,875,39,Item_9,2022-07-25,15:50:00,Cancelled,989.11
331,915,118,Item_10,2022-11-20,13:04:00,Delivered,564.44
332,647,46,Item_21,2023-10-12,10:59:00,Delivered,534.25
333,215,195,Item_50,2022-06-22,19:50:00,Delivered,566.14
334,782,200,Item_6,2022-05-13,20:29:00,Cancelled,688.46
335,414,110,Item_31,2023-01-28,10:04:00,Delivered,603.72
336,749,96,Item_1,2022-11-26,19:03:00,Delivered,165.23
337,5,161,Item_47,2022-09-12,13:51:00,Pending,895.44
338,320,34,Item_7,2023-01-28,18:35:00,Pending,410.2
339,67,12,Item_20,2022-10-25,17:46:00,Pending,592.25
340,537,87,Item_28,2023-12-05,12:17:00,Cancelled,996.72
341,502,92,Item_49,2022-07-12,12:48:00,Cancelled,166.26
342,230,187,Item_9,2022-08-05,10:22:00,Pending,578.94
343,127,94,Item_46,2023-10-29,10:38:00,Cancelled,895.06
344,262,198,Item_35,2023-10-01,10:49:00,Pending,995.48
345,678,28,Item_42,2022-01-21,10:49:00,Pending,248.42
346,455,98,Item_8,2023-07-15,14:18:00,Cancelled,746.59
347,211,178,Item_44,2023-10-08,10:09:00,Cancelled,507.74
348,104,170,Item_34,2022-10-04,20:37:00,Pending,745.62
349,429,27,Item_33,2023-09-25,12:00:00,Cancelled,246.91
350,109,128,Item_13,2023-09-16,13:24:00,Cancelled,856.77
351,997,52,Item_23,2023-12-22,16:59:00,Cancelled,286.32
352,562,128,Item_14,2023-12-06,18:12:00,Cancelled,349.33
353,14,172,Item_6,2022-04-24,19:47:00,Pending,569.99
354,973,24,Item_50,2023-06-08,11:16:00,Pending,765.04
355,927,66,Item_42,2022-08-25,17:47:00,Cancelled,374.51
356,52,26,Item_12,2022-02-10,14:57:00,Cancelled,831.36
357,321,110,Item_48,2022-04-29,11:37:00,Delivered,158.22
358,142,170,Item_42,2022-06-24,15:36:00,Cancelled,910.35
359,979,160,Item_18,2022-04-06,16:21:00,Cancelled,305.44
360,411,103,Item_30,2022-10-06,16:34:00,Pending,873.07
361,820,108,Item_42,2022-06-20,11:55:00,Delivered,741.74
362,61,41,Item_7,2023-03-03,20:04:00,Cancelled,831.93
363,695,113,Item_12,2023-09-18,16:28:00,Cancelled,669.65
364,884,176,Item_47,2022-05-14,18:14:00,Cancelled,246.0
365,422,113,Item_3,2022-03-06,14:27:00,Pending,417.1
366,722,174,Item_34,2023-08-14,19:38:00,Delivered,981.21
367,686,87,Item_34,2023-06-20,21:44:00,Pending,675.5
368,444,170,Item_47,2022-09-12,18:13:00,Cancelled,714.15
369,657,99,Item_10,2023-07-26,20:27:00,Delivered,159.9
370,957,41,Item_33,2023-04-26,18:27:00,Delivered,213.64
371,504,83,Item_16,2022-12-05,14:44:00,Delivered,580.89
372,564,165,Item_25,2023-02-17,14:00:00,Delivered,540.23
373,821,147,Item_29,2022-04-01,18:30:00,Cancelled,418.65
374,510,191,Item_42,2022-01-19,11:45:00,Cancelled,500.49
375,571,141,Item_1,2022-04-04,20:18:00,Pending,691.91
376,912,131,Item_36,2022-07-31,21:10:00,Pending,537.78
377,350,94,Item_4,2022-08-17,17:45:00,Cancelled,626.13
378,635,154,Item_31,2023-11-04,16:12:00,Pending,534.65
379,100,195,Item_43,2022-08-16,10:02:00,Cancelled,451.87
380,649,75,Item_36,2023-06-19,16:22:00,Pending,240.37
381,919,43,Item_32,2022-05-24,16:59:00,Delivered,366.15
382,201,49,Item_8,2023-02-07,13:40:00,Cancelled,850.87
383,196,184,Item_22,2022-04-21,17:04:00,Delivered,937.63
384,858,173,Item_38,2022-05-07,17:41:00,Cancelled,709.69
385,980,130,Item_9,2023-05-26,10:04:00,Pending,775.78
386,567,111,Item_38,2023-05-10,18:40:00,Delivered,738.05
387,178,188,Item_9,2022-04-17,16:36:00,Pending,660.46
388,904,83,Item_33,2023-01-29,17:08:00,Pending,928.52
389,781,64,Item_18,2023-02-12,15:51:00,Cancelled,534.92
390,137,36,Item_27,2023-09-09,21:56:00,Pending,585.45
391,864,180,Item_36,2022-11-18,19:26:00,Pending,334.74
392,215,160,Item_46,2022-10-25,21:43:00,Cancelled,933.01
393,136,182,Item_42,2022-07-02,18:35:00,Pending,740.17
394,331,182,Item_8,2022-12-27,19:35:00,Cancelled,645.39
395,966,171,Item_46,2023-03-04,21:30:00,Pending,909.79
396,547,74,Item_28,2022-01-14,18:55:00,Delivered,171.48
397,149,14,Item_43,2022-02-27,13:24:00,Cancelled,787.66
398,165,74,Item_44,2022-09-14,12:29:00,Delivered,737.01
399,303,53,Item_49,2023-07-09,10:33:00,Cancelled,841.92
400,105,158,Item_44,2023-07-30,13:49:00,Pending,700.05
401,399,61,Item_33,2023-12-14,14:54:00,Pending,714.82
402,949,98,Item_25,2023-03-03,21:41:00,Cancelled,970.96
403,56,4,Item_48,2022-09-15,13:27:00,Pending,888.52
404,882,114,Item_15,2023-10-11,21:03:00,Cancelled,791.84
405,560,190,Item_39,2022-07-21,13:18:00,Cancelled,531.49
406,700,20,Item_12,2022-06-27,18:46:00,Delivered,470.62
407,439,72,Item_36,2022-09-28,12:13:00,Delivered,646.39
408,262,2,Item_22,2023-04-23,12:38:00,Delivered,280.65
409,331,153,Item_4,2023-10-03,20:30:00,Pending,405.98
410,809,147,Item_36,2023-01-02,11:14:00,Pending,420.18
411,226,48,Item_34,2022-03-11,18:37:00,Delivered,503.54
412,550,104,Item_6,2022-12-24,13:46:00,Delivered,713.83
413,340,93,Item_19,2022-08-12,20:33:00,Pending,553.63
414,575,193,Item_42,2022-01-10,11:57:00,Pending,444.11
415,247,165,Item_40,2023-09-29,14:09:00,Delivered,730.17
416,329,98,Item_8,2023-01-31,14:22:00,Pending,765.38
417,26,133,Item_50,2023-01-19,18:46:00,Pending,528.72
418,45,76,Item_42,2022-07-17,15:28:00,Pending,219.99
419,99,43,Item_50,2023-07-05,19:06:00,Delivered,682.89
420,216,172,Item_41,2022-08-07,21:41:00,Cancelled,860.32
421,211,138,Item_45,2023-03-22,21:02:00,Delivered,784.86
